file,author,title,volume,source_xml,chars,words
CLTK__Albertanus__Albertanus3.txt,Albertanus,Albertanus3,,albertanus/albertanus3.txt,69806,9826
CLTK__Albertanus__Albertanus4.txt,Albertanus,Albertanus4,,albertanus/albertanus4.txt,51330,7096
CLTK__Albertofaix__Hist1.txt,Albertofaix,Hist1,,albertofaix/hist1.txt,60981,8267
CLTK__Albertofaix__Hist10.txt,Albertofaix,Hist10,,albertofaix/hist10.txt,62743,8635
CLTK__Albertofaix__Hist11.txt,Albertofaix,Hist11,,albertofaix/hist11.txt,52297,7223
CLTK__Albertofaix__Hist12.txt,Albertofaix,Hist12,,albertofaix/hist12.txt,58658,8103
CLTK__Albertofaix__Hist2.txt,Albertofaix,Hist2,,albertofaix/hist2.txt,79276,10875
CLTK__Albertofaix__Hist3.txt,Albertofaix,Hist3,,albertofaix/hist3.txt,119475,16143
CLTK__Albertofaix__Hist4.txt,Albertofaix,Hist4,,albertofaix/hist4.txt,99089,13631
CLTK__Albertofaix__Hist5.txt,Albertofaix,Hist5,,albertofaix/hist5.txt,74318,10180
CLTK__Albertofaix__Hist6.txt,Albertofaix,Hist6,,albertofaix/hist6.txt,85829,11646
CLTK__Albertofaix__Hist7.txt,Albertofaix,Hist7,,albertofaix/hist7.txt,106846,14704
CLTK__Albertofaix__Hist8.txt,Albertofaix,Hist8,,albertofaix/hist8.txt,59104,7916
CLTK__Albertofaix__Hist9.txt,Albertofaix,Hist9,,albertofaix/hist9.txt,86304,11901
CLTK__Alcuin__Cella.txt,Alcuin,Cella,,alcuin/cella.txt,1791,255
CLTK__Alcuin__Conflictus.txt,Alcuin,Conflictus,,alcuin/conflictus.txt,2869,394
CLTK__Alcuin__Epitaphium.txt,Alcuin,Epitaphium,,alcuin/epitaphium.txt,1386,206
CLTK__Alcuin__Luscinia.txt,Alcuin,Luscinia,,alcuin/luscinia.txt,744,101
CLTK__Alcuin__Propos.txt,Alcuin,Propos,,alcuin/propos.txt,14215,2102
CLTK__Alcuin__Rec.txt,Alcuin,Rec,,alcuin/rec.txt,877,121
CLTK__Alcuin__Rhetorica.txt,Alcuin,Rhetorica,,alcuin/rhetorica.txt,70775,10417
CLTK__Alcuin__Sequentia.txt,Alcuin,Sequentia,,alcuin/sequentia.txt,1305,161
CLTK__Alcuin__Versus.txt,Alcuin,Versus,,alcuin/versus.txt,2191,320
CLTK__Alfonsi__Alfonsi_Disciplina.txt,Alfonsi,Alfonsi Disciplina,,alfonsi.disciplina.txt,107273,14873
CLTK__Ambrose__Epist.txt,Ambrose,Epist,,ambrose/epist.txt,15431,2141
CLTK__Ambrose__Epistvaria.txt,Ambrose,Epistvaria,,ambrose/epistvaria.txt,211484,29604
CLTK__Ambrose__Hymns.txt,Ambrose,Hymns,,ambrose/hymns.txt,7547,976
CLTK__Ambrose__Mysteriis.txt,Ambrose,Mysteriis,,ambrose/mysteriis.txt,34813,5129
CLTK__Ammianus__14.txt,Ammianus,14,,ammianus/14.txt,62998,8349
